model_type,method,init,lr,momentum,test_mse,test_r2
normal,batch,zeros,0.01,0.0,2.647612840267917,-3.7456992549687715
normal,batch,zeros,0.001,0.0,8.160393312549955,-13.627052669717989
normal,batch,zeros,0.0001,0.0,117.72468438009457,-210.01497109279543
normal,batch,xavier,0.01,0.0,2.5472196915608234,-3.565750100856415
normal,batch,xavier,0.001,0.0,8.392614507491421,-14.043296289276112
normal,batch,xavier,0.0001,0.0,131.42938854992295,-234.5798936445914
normal,mini,zeros,0.01,0.0,0.3800279731822484,0.3188209236000725
normal,mini,zeros,0.001,0.0,1.6479526036764867,-1.95386369356781
normal,mini,zeros,0.0001,0.0,2.9390236153477582,-4.268036915956369
normal,mini,xavier,0.01,0.0,0.37369050036783674,0.3301804923241368
normal,mini,xavier,0.001,0.0,1.6642769587343922,-1.9831241951252463
normal,mini,xavier,0.0001,0.0,3.2114346026900455,-4.756318510611568
normal,sto,zeros,0.01,0.0,0.09170692811705534,0.8356204148048534
normal,sto,zeros,0.001,0.0,0.07109647614354464,0.8725635074986332
normal,sto,zeros,0.0001,0.0,0.755302457671733,-0.35383778781119246
normal,sto,xavier,0.01,0.0,0.07402828087666007,0.8673084100289247
normal,sto,xavier,0.001,0.0,0.07148754070968764,0.8718625459411263
normal,sto,xavier,0.0001,0.0,0.770451778629268,-0.3809921058776442
normal,batch,zeros,0.01,0.9,9.794083026285172,-16.555350923679782
normal,batch,zeros,0.001,0.9,111.89641147082479,-199.5681149729719
normal,batch,zeros,0.0001,0.9,160.09155427423363,-285.955236917926
normal,batch,xavier,0.01,0.9,10.194435333320426,-17.27296024190245
normal,batch,xavier,0.001,0.9,112.39635758045345,-200.4642406617071
normal,batch,xavier,0.0001,0.9,154.72309819813358,-276.33257698321194
normal,mini,zeros,0.01,0.9,1.653784319453571,-1.9643167208373478
normal,mini,zeros,0.001,0.9,2.938187832154933,-4.266538820911965
normal,mini,zeros,0.0001,0.9,20.440727281242104,-35.63887059098653
